Year,Species,Type,Metric Tons,Pounds,USD
1950,LOBSTER,AMERICAN,10522.5,23197900,8346062
1950,LOBSTER,CALIFORNIA SPINY,423.4,933500,296066
1950,LOBSTER,CARIBBEAN SPINY,707.5,1559700,280740
1951,LOBSTER,AMERICAN,11768.9,25945800,9378322
1951,LOBSTER,CALIFORNIA SPINY,374,824600,301867
1951,LOBSTER,CARIBBEAN SPINY,1405,3097400,588506
1952,LOBSTER,AMERICAN,11354.3,25031800,10556024
1952,LOBSTER,CALIFORNIA SPINY,365.9,806700,337282
1952,LOBSTER,CARIBBEAN SPINY,731.4,1612400,403100
1953,LOBSTER,AMERICAN,12752.9,28115100,10870406
1953,LOBSTER,CALIFORNIA SPINY,340.2,750100,352856
1953,LOBSTER,CARIBBEAN SPINY,905.1,1995400,399092
1954,LOBSTER,AMERICAN,12465.2,27480800,10485758
1954,LOBSTER,CALIFORNIA SPINY,408.9,901400,409537
1954,LOBSTER,CARIBBEAN SPINY,883.3,1947300,428406
1955,LOBSTER,AMERICAN,13132.8,28952500,11302897
1955,LOBSTER,CALIFORNIA SPINY,389.7,859100,433719
1955,LOBSTER,CARIBBEAN SPINY,1041.2,2295400,527942
1956,LOBSTER,AMERICAN,12029.8,26520800,11906488
1956,LOBSTER,CALIFORNIA SPINY,333.8,736000,384722
1956,LOBSTER,CARIBBEAN SPINY,1412,3113000,825056
1957,LOBSTER,AMERICAN,13678.1,30154700,11511322
1957,LOBSTER,CALIFORNIA SPINY,293.7,647500,377406
1957,LOBSTER,CARIBBEAN SPINY,1832.4,4039800,1123545
1958,LOBSTER,AMERICAN,12350.1,27227100,13218791
1958,LOBSTER,CALIFORNIA SPINY, ,633200,389387
1958,LOBSTER,CARIBBEAN SPINY,1340.1,2954300,836546
1959,LOBSTER,AMERICAN,13192.9,29085000,14466924
1959,LOBSTER,CALIFORNIA SPINY,229.6,506200,306442
1959,LOBSTER,CARIBBEAN SPINY,1442.3,3179600,954274
1960,LOBSTER,AMERICAN,14137.8,31168200,14250055
1960,LOBSTER,CALIFORNIA SPINY,159.2,351000,235511
1960,LOBSTER,CARIBBEAN SPINY,1292.1,2848500,1100269
1961,LOBSTER,AMERICAN,12699.9,27998300,14571354
1961,LOBSTER,CALIFORNIA SPINY,189.9,418700,283718
1961,LOBSTER,CARIBBEAN SPINY,1271.6,2803400,969287
1962,LOBSTER,AMERICAN,13379.3,29496100,14952415
1962,LOBSTER,CALIFORNIA SPINY,234.5,517000,353915
1962,LOBSTER,CARIBBEAN SPINY,1423.9,3139200,1200651
1963,LOBSTER,AMERICAN,13732.8,30275400,16768949
1963,LOBSTER,CALIFORNIA SPINY,265,584200,381375
1963,LOBSTER,CARIBBEAN SPINY,1626.2,3585200,1408003
1964,LOBSTER,AMERICAN,14042,30957013,19856718
1964,LOBSTER,CALIFORNIA SPINY,202.6,446700,308878
1964,LOBSTER,CARIBBEAN SPINY,1647.1,3631100,1562163
1965,LOBSTER,AMERICAN,13718.9,30244585,21957454
1965,LOBSTER,CALIFORNIA SPINY,217.9,480300,384629
1965,LOBSTER,CARIBBEAN SPINY,2607.8,5749100,3234641
1965,LOBSTER,SLIPPER,0,100,30
1966,LOBSTER,AMERICAN,13399.7,29541000,22266074
1966,LOBSTER,CALIFORNIA SPINY,221.9,489100,409330
1966,LOBSTER,CARIBBEAN SPINY,2426.8,5350200,2468969
1967,LOBSTER,AMERICAN,12131.3,26744600,22388519
1967,LOBSTER,CALIFORNIA SPINY,204.1,449900,387933
1967,LOBSTER,CARIBBEAN SPINY,2002,4413600,2733014
1968,LOBSTER,AMERICAN,14768.3,32558100,25451007
1968,LOBSTER,CALIFORNIA SPINY,141.7,312500,293165
1968,LOBSTER,CARIBBEAN SPINY,3247.3,7159100,5069120
1969,LOBSTER,AMERICAN,15325.5,33786600,28998384
1969,LOBSTER,CALIFORNIA SPINY,140.4,309500,346733
1969,LOBSTER,CARIBBEAN SPINY,3839,8463400,5952090
1970,LOBSTER,AMERICAN,15491.4,34152300,33462748
1970,LOBSTER,CALIFORNIA SPINY,102.2,225400,268320
1970,LOBSTER,CARIBBEAN SPINY,4588.2,10115200,6059299
1971,LOBSTER,AMERICAN,15281,33688600,35594023
1971,LOBSTER,CALIFORNIA SPINY,101.8,224500,308730
1971,LOBSTER,CARIBBEAN SPINY,3951.8,8712100,7513877
1972,LOBSTER,AMERICAN,14625.7,32243800,39510981
1972,LOBSTER,CALIFORNIA SPINY,180.6,398200,622019
1972,LOBSTER,CARIBBEAN SPINY,5357.8,11811900,12159195
1972,LOBSTER,SLIPPER,7.2,15800,8666
1973,LOBSTER,AMERICAN,13151.3,28993400,41585884
1973,LOBSTER,CALIFORNIA SPINY,105.8,233200,397208
1973,LOBSTER,CARIBBEAN SPINY,5077.7,11194200,11683515
1973,LOBSTER,SLIPPER,2.4,5400,3743
1974,LOBSTER,AMERICAN,12947,28543000,43294695
1974,LOBSTER,CALIFORNIA SPINY,86.6,191000,365076
1974,LOBSTER,CARIBBEAN SPINY,4936.7,10883400,13393301
1974,LOBSTER,SLIPPER,0.8,1800,1705
1975,LOBSTER,AMERICAN,13698.4,30199500,51412975
1975,LOBSTER,CALIFORNIA SPINY,91.4,201500,429298
1975,LOBSTER,CARIBBEAN SPINY,3360.5,7408500,9863076
1975,LOBSTER,SLIPPER,2.5,5600,5755
1976,LOBSTER,AMERICAN,14280,31481600,51913288
1976,LOBSTER,CALIFORNIA SPINY,132.7,292600,663103
1976,LOBSTER,CARIBBEAN SPINY,2424.7,5345600,8586312
1976,LOBSTER,SLIPPER,4.9,10900,11328
1977,LOBSTER,AMERICAN,14412.1,31772900,57868431
1977,LOBSTER,CALIFORNIA SPINY,114.1,251600,606695
1977,LOBSTER,CARIBBEAN SPINY,2877.7,6344100,10425448
1977,LOBSTER,SLIPPER,13.5,29700,56094
1978,LOBSTER,AMERICAN,15579,34345568,64815788
1978,LOBSTER,CALIFORNIA SPINY,254.3,560600,1487370
1978,LOBSTER,CARIBBEAN SPINY,2541,5601903,19725999
1978,LOBSTER,SLIPPER,17.1,37774,93074
1979,LOBSTER,AMERICAN,16874.1,37200600,72213885
1979,LOBSTER,CALIFORNIA SPINY,190,418941,1353535
1979,LOBSTER,CARIBBEAN SPINY,3550.9,7828269,15192340
1979,LOBSTER,SLIPPER,0.6,1240,1509
1980,LOBSTER,AMERICAN,16880.4,37214500,76118331
1980,LOBSTER,CALIFORNIA SPINY,188,414553,1345592
1980,LOBSTER,CARIBBEAN SPINY,3036.8,6694842,14082595
1980,LOBSTER,SLIPPER,9.9,21849,38002
1981,LOBSTER,AMERICAN,17750.4,39132500,85736088
1981,LOBSTER,CALIFORNIA SPINY,217.4,479212,1637116
1981,LOBSTER,CARIBBEAN SPINY,3027.8,6675005,19216166
1981,LOBSTER,SLIPPER,17.8,39351,70928
1982,LOBSTER,AMERICAN,19542.9,43084300,99445337
1982,LOBSTER,CALIFORNIA SPINY,238.1,524862,1891048
1982,LOBSTER,CARIBBEAN SPINY,3001.4,6616804,15998182
1982,LOBSTER,SLIPPER,35.6,78473,113871
1983,LOBSTER,AMERICAN,20320.1,44797660,108427186
1983,LOBSTER,CALIFORNIA SPINY,238.2,525146,1994419
1983,LOBSTER,CARIBBEAN SPINY,2053,4526000,11373801
1983,LOBSTER,SLIPPER,46.3,102011,164988
1984,LOBSTER,AMERICAN,20659.3,45545524,122534431
1984,LOBSTER,CALIFORNIA SPINY,201.8,444998,1769902
1984,LOBSTER,CARIBBEAN SPINY,3126.2,6891917,17378348
1984,LOBSTER,SLIPPER,28.4,62655,145515
1985,LOBSTER,AMERICAN,21297.5,46952481,116893703
1985,LOBSTER,CALIFORNIA SPINY,203.1,447848,1946290
1985,LOBSTER,CARIBBEAN SPINY,3146.3,6936393,17384942
1985,LOBSTER,SLIPPER,51,112390,197766
